id,name,category,price,stock
1,Synergized multi-state hardware,Electronics,355.38,60
2,De-engineered zero-defect neural-net,Clothing,38.36,32
3,Sharable optimizing contingency,Books,40.07,243
4,Visionary clear-thinking Internet solution,Books,336.14,219
5,Profit-focused analyzing capability,Sports,70.49,957
6,Programmable coherent framework,Sports,290.22,248
7,Down-sized cohesive Graphic Interface,Home,404.71,194
8,Triple-buffered directional hardware,Electronics,52.98,441
9,Programmable executive artificial intelligence,Books,214.67,478
10,Function-based dedicated productivity,Electronics,338.32,661
11,Reactive even-keeled capacity,Electronics,35.0,745
12,Self-enabling exuding pricing structure,Books,401.29,111
13,Public-key background middleware,Clothing,99.84,549
14,Stand-alone composite parallelism,Home,74.39,187
15,Reduced coherent concept,Books,234.0,895
16,Switchable regional success,Electronics,224.35,882
17,Robust global open system,Sports,53.46,667
18,Balanced 4thgeneration artificial intelligence,Sports,418.83,992
19,Balanced secondary throughput,Electronics,463.55,869
20,Re-engineered empowering projection,Clothing,87.32,497
21,Expanded zero administration orchestration,Home,110.8,410
22,Operative regional productivity,Electronics,86.5,2
23,Assimilated modular product,Home,136.28,802
24,Quality-focused explicit project,Home,146.2,713
25,Innovative mission-critical encryption,Sports,332.63,498
26,Synergized impactful framework,Clothing,99.0,222
27,Persevering asynchronous solution,Electronics,291.69,555
28,Centralized cohesive intranet,Electronics,375.25,58
29,Operative mission-critical Local Area Network,Electronics,294.17,514
30,Expanded global portal,Sports,82.93,983
31,Digitized foreground structure,Sports,44.66,190
32,Intuitive upward-trending hardware,Electronics,299.54,691
33,Open-architected clear-thinking task-force,Clothing,204.87,964
34,Multi-layered multimedia open architecture,Sports,126.88,608
35,Customer-focused foreground encoding,Electronics,311.59,429
36,Persistent bottom-line flexibility,Sports,284.79,323
37,Organized dynamic circuit,Books,106.11,733
38,Cross-platform actuating frame,Books,123.15,405
39,Networked reciprocal instruction set,Clothing,337.49,307
40,Fully-configurable cohesive Graphic Interface,Home,161.51,769
41,Re-engineered uniform functionalities,Electronics,9.61,636
42,Ergonomic well-modulated complexity,Sports,498.07,75
43,Proactive multimedia Local Area Network,Sports,110.51,271
44,Proactive fault-tolerant methodology,Clothing,466.96,902
45,Ameliorated background infrastructure,Electronics,440.24,378
46,Profit-focused logistical encoding,Books,83.08,853
47,Extended optimal help-desk,Sports,353.25,626
48,Business-focused actuating forecast,Sports,8.87,836
49,Proactive radical projection,Sports,153.19,679
50,Synergistic methodical forecast,Electronics,469.77,137
